audit_step,source_output,case_id,map_name,old_source,prototype_source,rmse,mae,pearson,max_abs_diff,exact_match,near_exact_match,valid_cells_compared,top10_jaccard,hotspot_distance_pixels,mae_vs_TEMPpred_median_proxy,max_abs_diff_vs_TEMPpred_median_proxy,near_exact_vs_TEMPpred_median_proxy,original_step11_source,near_exact_vs_original_step11_logic,inference
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,region_A_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\masks\C01_representative_region_A_mask.npy,prototype-derived mask,0.466788018775936,0.2178910544727636,0.6295213060468327,1.0,False,False,8004,0.6924162257495591,8.657262007432001,0.009495252373813094,1.0,False,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,region_B_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\masks\C01_representative_region_B_mask.npy,prototype-derived mask,0.466788018775936,0.2178910544727636,0.6295213060468335,1.0,False,False,8004,0.5723393820500245,14.78504847261935,0.009495252373813094,1.0,False,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,boundary_core_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\masks\C01_representative_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,1.0,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,C06_representative,region_A_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\C06_representative_region_A_mask.npy,prototype-derived mask,0.44274934952718636,0.19602698650674663,0.6607923349727414,1.0,False,False,8004,0.7184640229678808,11.360332634623001,0.0,0.0,True,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,C06_representative,region_B_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\C06_representative_region_B_mask.npy,prototype-derived mask,0.44274934952718636,0.19602698650674663,0.6607923349727414,1.0,False,False,8004,0.60775,10.56724904837153,0.0,0.0,True,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,C06_representative,boundary_core_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\C06_representative_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,1.0,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,October_control,region_A_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\October_control_region_A_mask.npy,prototype-derived mask,0.408248290463863,0.16666666666666666,0.7071067811865468,1.0,False,False,8004,0.75,9.043878920636448,0.0,0.0,True,TEMPpred_median_fallback,True,TEMPpred_median_fallback
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,October_control,region_B_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\October_control_region_B_mask.npy,prototype-derived mask,0.408248290463863,0.16666666666666666,0.7071067811865468,1.0,False,False,8004,0.6666666666666666,9.427834121512914,0.0,0.0,True,TEMPpred_median_fallback,True,TEMPpred_median_fallback
Step11C,fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458,October_control,boundary_core_mask,results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_214458\masks\October_control_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,0.9999999999999998,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,region_A_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\masks\C01_representative_regime_A_mask.npy,prototype-derived mask,0.466788018775936,0.2178910544727636,0.6295213060468327,1.0,False,False,8004,0.6924162257495591,8.657262007432001,0.009495252373813094,1.0,False,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,region_B_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\masks\C01_representative_regime_B_mask.npy,prototype-derived mask,0.466788018775936,0.2178910544727636,0.6295213060468335,1.0,False,False,8004,0.5723393820500245,14.78504847261935,0.009495252373813094,1.0,False,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,boundary_core_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\masks\C01_representative_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,1.0,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_region_A_reward.npy,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\step11d_region_A_reward.npy,corrected prototype region reward,0.466788018775936,0.2178910544727636,0.6295213060468327,1.0,False,False,8004,0.6924162257495591,8.657262007432001,,,,,,top_level_C01_reward_file
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_region_B_reward.npy,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\step11d_region_B_reward.npy,corrected prototype region reward,0.466788018775936,0.2178910544727636,0.6295213060468335,1.0,False,False,8004,0.5723393820500245,14.78504847261935,,,,,,top_level_C01_reward_file
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,C06_representative,region_A_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\C06_representative_regime_A_mask.npy,prototype-derived mask,0.44274934952718636,0.19602698650674663,0.6607923349727414,1.0,False,False,8004,0.7184640229678808,11.360332634623001,0.0,0.0,True,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,C06_representative,region_B_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\C06_representative_regime_B_mask.npy,prototype-derived mask,0.44274934952718636,0.19602698650674663,0.6607923349727414,1.0,False,False,8004,0.60775,10.56724904837153,0.0,0.0,True,Step09B_assigned_Step08_cold_warm_raw,True,prototype_region_based_raw_Step09B
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,C06_representative,boundary_core_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\C06_representative_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,1.0,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,October_control,region_A_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\October_control_regime_A_mask.npy,prototype-derived mask,0.408248290463863,0.16666666666666666,0.7071067811865468,1.0,False,False,8004,0.75,9.043878920636448,0.0,0.0,True,TEMPpred_median_fallback,True,TEMPpred_median_fallback
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,October_control,region_B_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\October_control_regime_B_mask.npy,prototype-derived mask,0.408248290463863,0.16666666666666666,0.7071067811865468,1.0,False,False,8004,0.6666666666666666,9.427834121512914,0.0,0.0,True,TEMPpred_median_fallback,True,TEMPpred_median_fallback
Step11D,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,October_control,boundary_core_mask,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\masks\October_control_boundary_core_mask.npy,prototype-derived mask,0.0,0.0,0.9999999999999998,0.0,True,True,8004,1.0,0.0,0.0,0.0,True,Step10F_boundary_p90_core,True,prototype_boundary_core
