path,title,n_columns,columns_json,coord_columns_json,value_columns_json,unknown_columns_json,header_ok,notes
data/2024/tempIBHRes2024_1.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_10.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_11.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_12.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_13.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_14.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_15.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_16.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_17.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_2.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_3.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_4.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
data/2024/tempIBHRes2024_5.gslib,tempOcean,4,"[""x"", ""y"", ""z"", ""temp""]","[""x"", ""y"", ""z""]","[""temp""]",[],True,
