z,filepath,x_km_min,x_km_max,y_km_min,y_km_max,mean_temp,std_temp,min_temp,max_temp,x_axis_label,y_axis_label,georef_note
1,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z001.png,0.0,54.85438621495274,0.0,52.42951526184871,15.953941345214844,0.23273752629756927,15.475000381469727,16.395000457763672,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
2,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z002.png,0.0,54.85438621495274,0.0,52.42951526184871,15.972627639770508,0.19350378215312958,15.49813461303711,16.391000747680664,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
3,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z003.png,0.0,54.85438621495274,0.0,52.42951526184871,15.978999137878418,0.20565292239189148,15.461504936218262,16.465999603271484,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
4,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z004.png,0.0,54.85438621495274,0.0,52.42951526184871,15.890206336975098,0.20520731806755066,15.441514015197754,16.2189998626709,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
5,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z005.png,0.0,54.85438621495274,0.0,52.42951526184871,15.686123847961426,0.2870900332927704,15.194999694824219,16.06873893737793,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
6,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z006.png,0.0,54.85438621495274,0.0,52.42951526184871,15.533866882324219,0.3715968132019043,14.859999656677246,16.08300018310547,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
7,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z007.png,0.0,54.85438621495274,0.0,52.42951526184871,15.492725372314453,0.34120261669158936,14.880999565124512,16.03499984741211,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
8,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z008.png,0.0,54.85438621495274,0.0,52.42951526184871,15.51590633392334,0.279438853263855,14.970000267028809,15.941793441772461,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
9,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z009.png,0.0,54.85438621495274,0.0,52.42951526184871,15.536433219909668,0.2517635226249695,14.944000244140625,16.121000289916992,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
10,results/plots/tempibhres_relative_km_display_assumed_20260418_0001/deterministic_2024_surface_300_thesis_relative_km_display_assumed/TEMP_surface_2024_z010.png,0.0,54.85438621495274,0.0,52.42951526184871,15.530369758605957,0.28337791562080383,14.899999618530273,16.395999908447266,"X (km, relative)","Y (km, relative)",Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
