stage_id,stage_name,purpose,scripts,inputs,outputs,key_params,representative_artifacts,status,notes
STG01_BUILD_SURFACE_DATASET,Build dataset de superficie (300 dias),"Materializar stack base de temperatura de superficie com shape (300,64,112) a partir do GSLIB de entrada.","scripts/Old_Code/01_build_fossum_surface_dataset.py | scripts/Old_Code/export_surface_2024_300_images.py","data/2024/tempIBHRes2024_1.gslib","results/plots/X_surface_300.npy | results/fossum/dataset_summary.json | results/plots/deterministic_2024_surface_300_thesis/index.csv","z=1..300; shape=(300,64,112)","results/fossum/dataset_summary.json | results/plots/deterministic_2024_surface_300_thesis/color_scale.json",working,"Script de materializacao de arrays oficiais existe em Old_Code; output oficial esta em results/plots."
STG02_NORMALIZE_COMMON_MASK,Normalizacao global e mascara comum,"Construir X_surface_300_norm e mask_common para uso comum em todas as etapas de clustering.","scripts/Old_Code/01_build_fossum_surface_dataset.py","results/plots/X_surface_300.npy","results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/fossum/global_stats.json","mu_global=16.671541; sigma_global=1.347299; valid_frac=0.966099","results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/fossum/global_stats.json",working,"Artefactos confirmados no estado oficial (THESIS_OFFICIAL_PIPELINE.md)."
STG03_EXPORT_NORMALIZED_PNGS,Exportacao de PNGs normalizados,"Gerar PNGs limpos normalizados para inspecao visual e paineis de membros.","scripts/Old_Code/01b_export_normalized_surface_pngs.py","results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy","results/plots/pngs_normalized_surface_300_thesis/index.csv | results/plots/pngs_normalized_surface_300_thesis/color_scale_norm.json | results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png","z_start=1; z_end=300; escala simetrica global","results/plots/pngs_normalized_surface_300_thesis/index.csv | results/plots/pngs_normalized_surface_300_thesis/color_scale_norm.json",working,"No script legado o default de output e outro; output oficial atual esta em results/plots."
STG04_INITIAL_VISUAL_EXPLORATION,Exploracao visual inicial,"Gerar vista inicial deterministica dos 300 mapas de superficie antes da fase de clustering.","scripts/Old_Code/export_surface_2024_300_images.py","data/2024/tempIBHRes2024_1.gslib","results/plots/deterministic_2024_surface_300_thesis/*.png | results/plots/deterministic_2024_surface_300_thesis/index.csv","render deterministico z001..z300","results/plots/deterministic_2024_surface_300_thesis/index.csv | docs/FOSSUM_READY_STATE.md",exploratory,"Documento docs/FOSSUM_READY_STATE.md esta desatualizado face aos artefactos atuais."
STG05_PATCH_SIZE_SENSITIVITY,Patch-size sensitivity,"Comparar sensibilidade do pipeline inicial a diferentes patch sizes.","scripts/02b_patch_size_sensitivity_fossum_faithful_initial.py","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/plots/pngs_normalized_surface_300_thesis","results/fossum/faithful_initial_patch_size_sensitivity_spread/runs.csv | results/fossum/faithful_initial_patch_size_sensitivity_spread/summary.csv | results/fossum/faithful_initial_patch_size_sensitivity_spread/ranking.csv","patches={16x16..80x44}; seeds={11,23,37,53,71}; dictionary_size=4; n_classes=4","results/fossum/faithful_initial_patch_size_sensitivity_spread/ranking.csv | results/fossum/faithful_initial_patch_size_sensitivity_spread/plots/icv_boxplot_patchsize_faithful_initial.png",exploratory,"Ranking equilibrado favorece 56x32, mas configuracao congelada usa 72x40."
STG06_DICTIONARY_SIZE_SENSITIVITY,Dictionary-size sensitivity,"Comparar sensibilidade do pipeline inicial ao tamanho do dicionario.","scripts/03a_dictionary_size_sensitivity_fossum_faithful_initial.py","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/plots/pngs_normalized_surface_300_thesis","results/fossum/faithful_initial_dictionary_size_sensitivity_spread/runs.csv | results/fossum/faithful_initial_dictionary_size_sensitivity_spread/summary.csv | results/fossum/faithful_initial_dictionary_size_sensitivity_spread/ranking.csv","patch=72x40; xds={2..12}; seeds={11,23,37,53,71}; n_classes=4","results/fossum/faithful_initial_dictionary_size_sensitivity_spread/ranking.csv | results/fossum/faithful_initial_dictionary_size_sensitivity_spread/plots/icv_boxplot_dictionarysize_faithful_initial.png",exploratory,"Ranking exploratorio favorece xds=2, mas pipeline oficial congela xds=4."
STG07_SD_PROBE_AND_SCALER_COMPARISON,Separation-distance probe e scaler vs no-scaler,"Executar probe de SD no dendrograma e comparar versoes com e sem StandardScaler.","scripts/04a_separation_distance_probe_fossum_faithful_initial.py | scripts/05_compare_scaler_vs_no_scaler_by_classcount.py | scripts/05b_compare_scaler_vs_no_scaler_full_assignments.py","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/plots/pngs_normalized_surface_300_thesis","results/fossum/faithful_initial_sd_autoprobe/w72_h40_xds04_seed11_20260322_215325/runs.csv | results/fossum/faithful_initial_sd_autoprobe/comparison_w72_h40_xds04_seed11_20260322_164245_VS_w72_h40_xds04_seed11_20260322_215325_by_nclass/comparison_summary.json | results/fossum/faithful_initial_sd_autoprobe/comparison_fullassign_w72_h40_xds04_seed11_20260322_164245_VS_w72_h40_xds04_seed11_20260322_215325/comparison_summary.json","patch=72x40; xds=4; fractions={0.10..0.50}; seed=11; scaler ON/OFF","results/fossum/faithful_initial_sd_autoprobe/comparison_fullassign_w72_h40_xds04_seed11_20260322_164245_VS_w72_h40_xds04_seed11_20260322_215325/comparison_summary.json | results/fossum/faithful_initial_sd_autoprobe/w72_h40_xds04_seed11_20260322_215325/runs.csv",exploratory,"Comparacoes mostram mudanca de atribuicoes e suportam opcao scaler ON + SD=0.30 para n=5."
STG08_SD_REFINED_LOCAL_PROBE,Probe refinado multi-seed de SD,"Mapear numero de classes por seed ao variar fracoes de SD para estabilizar escolha global.","scripts/04a_separation_distance_probe_fossum_faithful_initial.py (reruns em batch; orquestracao incerta)","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy","results/fossum/faithful_initial_sd_refined_local_probe/summary_runs_all_seeds_20260325.csv | results/fossum/faithful_initial_sd_refined_local_probe/summary_fraction_profile_20260325.csv","seeds={11,23,37,53,71}; fractions={0.20,0.22,0.24,0.26,0.28,0.30}","results/fossum/faithful_initial_sd_refined_local_probe/summary_fraction_profile_20260325.csv | results/fossum/faithful_initial_sd_refined_local_probe/summary_nclasses_by_seed_fraction_20260325.csv",exploratory,"Orquestrador especifico nao foi encontrado no diretorio scripts."
STG09_SD30_WORKING_CONFIG_SUMMARY,Selecao working SD30,"Consolidar runs SD30 multi-seed como configuracao de trabalho para etapa local.","scripts/04a_separation_distance_probe_fossum_faithful_initial.py (promocao de artefactos SD30)","results/fossum/faithful_initial_sd_refined_local_probe/*/sd_30pct","results/fossum/faithful_initial_sd_working_config/summary_final_sd30_all_seeds_20260325.csv | results/fossum/faithful_initial_sd_working_config/w72_h40_xds04_seed11_scalerON_final_sd30_20260325/sd_30pct","patch=72x40; xds=4; scaler=ON; sd_fraction=0.30","results/fossum/faithful_initial_sd_working_config/summary_final_sd30_all_seeds_20260325.csv",working,"Este summary e o input direto da etapa local class_02."
STG10_CLASS02_LOCAL_REFINEMENT_KSWEEP,Refinamento local class_02 (k-sweep),"Refinar apenas class_02 do SD30 global para testar subestruturas locais.","scripts/06_class02_local_refinement_sd30.py","results/fossum/faithful_initial_sd_working_config/summary_final_sd30_all_seeds_20260325.csv | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy","results/fossum/class02_local_refinement_sd30_20260326/refined_class02_summary.csv | results/fossum/class02_local_refinement_sd30_20260326/refined_class02_aggregate_by_k.csv | results/fossum/class02_local_refinement_sd30_20260326/COMPACT_REPORT.md","seeds={11,23,37,53,71}; k_values={2,3}","results/fossum/class02_local_refinement_sd30_20260326/refined_class02_summary.csv | results/fossum/class02_local_refinement_sd30_20260326/refined_class02_aggregate_by_k.csv",working,"Resultado apoia k=2 como split local default no estado oficial."
STG11_CANONICAL_DICTIONARY_SELECTION,Selecao do dicionario canonico,"Executar seed sweep e fixar canonical_dictionary.npz para runs oficiais em modo fixed-dictionary.","scripts/08_select_canonical_dictionary.py","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | results/fossum/final_working_pipeline/*/pipeline_manifest.json","results/fossum/canonical_dictionary/canonical_dictionary.npz | results/fossum/canonical_dictionary/canonical_dictionary_manifest.json | results/fossum/canonical_dictionary_seed_sweep/canonical_full_20260328/CANONICAL_DICTIONARY_REPORT.md","patch=72x40; xds=4; sd_fraction=0.30; filtro: n_classes=5,singleton=0,min_class>=20; seed canonica=11","results/fossum/canonical_dictionary/canonical_dictionary_manifest.json | results/fossum/canonical_dictionary_seed_sweep/canonical_full_20260328/canonical_dictionary_seed_sweep_ranked.csv",final,"Ha run de regeneracao posterior (regen_seed11_20260403) que atualiza o manifesto canonico."
STG12_E2E_WORKING_PRE_OFFICIAL,Runs E2E de consolidacao pre-oficial,"Executar versoes de consolidacao E2E antes da arvore oficial final congelada.","scripts/07_run_faithful_pipeline_end_to_end.py","results/plots/X_surface_300.npy | results/plots/X_surface_300_norm.npy | results/plots/mask_common.npy | opcional: results/fossum/canonical_dictionary/canonical_dictionary.npz","results/fossum/final_working_pipeline/e2e_seed11_20260328/pipeline_manifest.json | results/fossum/final_working_pipeline/e2e_fixed_seed11_20260328/pipeline_manifest.json | results/final_working_pipeline/final_working_20260328/pipeline_manifest.json","run_tag={e2e_seed11_20260328,e2e_fixed_seed11_20260328,final_working_20260328}; seeds={11 ou 11,23,37,53,71}","results/fossum/final_working_pipeline/e2e_fixed_seed11_20260328/PIPELINE_REPORT.md | results/final_working_pipeline/final_working_20260328/PIPELINE_REPORT.md",working,"Estas arvores aparecem como precursoras/superseded da branch oficial em results/fossum/final_working_pipeline/official_fixed_dictionary_20260328."
