source_stage,target_stage,dependency_type,evidence
STG01_BUILD_SURFACE_DATASET,STG02_NORMALIZE_COMMON_MASK,data_artifact,"scripts/Old_Code/01_build_fossum_surface_dataset.py grava X_surface_300.npy, X_surface_300_norm.npy e mask_common.npy no mesmo fluxo."
STG02_NORMALIZE_COMMON_MASK,STG03_EXPORT_NORMALIZED_PNGS,script_input,"scripts/Old_Code/01b_export_normalized_surface_pngs.py usa IN_X_NORM e IN_MASK (linhas 27-28)."
STG01_BUILD_SURFACE_DATASET,STG04_INITIAL_VISUAL_EXPLORATION,shared_source,"Ambas etapas usam data/2024/tempIBHRes2024_1.gslib; output visual em results/plots/deterministic_2024_surface_300_thesis."
STG02_NORMALIZE_COMMON_MASK,STG05_PATCH_SIZE_SENSITIVITY,script_input,"scripts/02b_patch_size_sensitivity_fossum_faithful_initial.py depende de X_sst/X_norm/mask e PNG indexados."
STG02_NORMALIZE_COMMON_MASK,STG06_DICTIONARY_SIZE_SENSITIVITY,script_input,"scripts/03a_dictionary_size_sensitivity_fossum_faithful_initial.py depende de X_sst/X_norm/mask e PNG indexados."
STG02_NORMALIZE_COMMON_MASK,STG07_SD_PROBE_AND_SCALER_COMPARISON,script_input,"scripts/04a e comparadores usam arrays normalizados e mask_common; confirmado em pipeline manifests e args."
STG05_PATCH_SIZE_SENSITIVITY,STG09_SD30_WORKING_CONFIG_SUMMARY,decision_support,"Config congelada usa patch=72x40 (configs/thesis_official_state.json), valor avaliado em 02b."
STG06_DICTIONARY_SIZE_SENSITIVITY,STG09_SD30_WORKING_CONFIG_SUMMARY,decision_support,"Config congelada usa dictionary_size=4 (configs/thesis_official_state.json), valor avaliado em 03a."
STG07_SD_PROBE_AND_SCALER_COMPARISON,STG08_SD_REFINED_LOCAL_PROBE,method_refinement,"Etapa refined local probe amplia analise por fracoes/seed apos probe inicial e comparacao scaler."
STG08_SD_REFINED_LOCAL_PROBE,STG09_SD30_WORKING_CONFIG_SUMMARY,promotion,"summary_fraction_profile_20260325 indica media de classes 5.0 em frac=0.30; summary_final_sd30_all_seeds_20260325 consolida SD30."
STG09_SD30_WORKING_CONFIG_SUMMARY,STG10_CLASS02_LOCAL_REFINEMENT_KSWEEP,direct_input,"scripts/06_class02_local_refinement_sd30.py usa por default summary_final_sd30_all_seeds_20260325.csv."
STG10_CLASS02_LOCAL_REFINEMENT_KSWEEP,STG13_OFFICIAL_FROZEN_PIPELINE,decision_support,"configs/thesis_official_state.json fixa local_default_k=2 para class_02."
STG09_SD30_WORKING_CONFIG_SUMMARY,STG12_E2E_WORKING_PRE_OFFICIAL,script_input,"scripts/07 integra 04a+06 com SD30; e2e_seed11/final_working sao saídas pre-oficial."
STG11_CANONICAL_DICTIONARY_SELECTION,STG12_E2E_WORKING_PRE_OFFICIAL,artifact_binding,"e2e_fixed_seed11_20260328/pipeline_manifest.json runtime_config.use_fixed_dictionary=true com dictionary_path canonico."
STG12_E2E_WORKING_PRE_OFFICIAL,STG13_OFFICIAL_FROZEN_PIPELINE,superseded_branch,"official_fixed_dictionary_20260328 repete estrutura E2E com run_tag oficial e escopo final."
STG11_CANONICAL_DICTIONARY_SELECTION,STG13_OFFICIAL_FROZEN_PIPELINE,artifact_binding,"pipeline_manifest oficial aponta dictionary_path=results/fossum/canonical_dictionary/canonical_dictionary.npz."
STG13_OFFICIAL_FROZEN_PIPELINE,STG14_BUILD_COMPACT_MODEL,direct_input,"compact_model_manifest.json source_pipeline_manifest_path referencia pipeline_manifest oficial."
STG13_OFFICIAL_FROZEN_PIPELINE,STG15_EXPORT_CV_PROTOTYPES,direct_input,"manifest_cv_exports.json source_pipeline_root aponta para official_fixed_dictionary_20260328."
STG15_EXPORT_CV_PROTOTYPES,STG16_CV_IMAGE_ONLY_DOWNSTREAM,direct_input,"manifest.json da etapa 10 referencia cv_export_root e manifest_cv_exports.json gerados em STG15."
STG14_BUILD_COMPACT_MODEL,STG17_PIXELWISE_CHARACTERIZATION_V2,direct_input,"manifest da etapa 11 referencia compact_model_npz e compact_model_manifest."
STG16_CV_IMAGE_ONLY_DOWNSTREAM,STG17_PIXELWISE_CHARACTERIZATION_V2,semantic_label_binding,"manifest da etapa 11 usa image_only_global_csv e image_only_local_csv como fonte de labels."
STG17_PIXELWISE_CHARACTERIZATION_V2,STG18_VALIDATION_AND_AUDITS,diagnostic_input,"AUDIT_REPORT.md v2 declara source em official_pixelwise_v2_semantic."
STG01_BUILD_SURFACE_DATASET,STG18_VALIDATION_AND_AUDITS,diagnostic_input,"REPORTs de visual_data_branches e hres_surface_comparison usam data/2024/tempIBHRes2024_1.gslib e ramos CMEMS/Test_C4."
