evidence_id,path,source_group,evidence_type,fact,confidence,line
DIR001,investigation/tempibhres_geoaxes_audit_20260417_171342,artifact_directory_inventory,inventory,3 files; top types -> .csv:2; .md:1,high,
DIR002,investigation/tempibhres_hres_registration_controlled_v4,artifact_directory_inventory,inventory,623 files; top types -> .png:606; .csv:14; .json:1; .md:1; .npz:1,high,
DIR003,results/plots/tempibhres_indexed_axes_fix_20260417_185500,artifact_directory_inventory,inventory,0 files; top types -> none,high,
DIR004,results/plots/tempibhres_relative_km_display_assumed_20260418_0001,artifact_directory_inventory,inventory,0 files; top types -> none,high,
DIR005,results/plots/tempibhres_relative_km_display_assumed_user_style_test_v3,artifact_directory_inventory,inventory,6 files; top types -> .csv:2; .png:2; .json:1; .md:1,high,
DIR006,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1,artifact_directory_inventory,inventory,604 files; top types -> .png:600; .csv:2; .json:1; .md:1,high,
DIR007,results/plots/deterministic_2024_surface_300_thesis_indexed_axes,artifact_directory_inventory,inventory,302 files; top types -> .png:300; .csv:1; .json:1,high,
DIR008,results/plots/pngs_normalized_surface_300_thesis_indexed_axes,artifact_directory_inventory,inventory,302 files; top types -> .png:300; .csv:1; .json:1,high,
TXT0001,docs/THESIS_FIGURE_CONVENTIONS.md,report_or_doc,keyword_snippet,- Metodo aplicado: `linear_resample_from_hres_bbox`,medium,13
TXT0002,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- Conclusao principal: as imagens thesis de `tempIBHRes2024_*` em lat/lon usam **display mapping** para a bbox HRes local, nao uma georreferenciacao nativa lida do proprio `.gslib`.",medium,8
TXT0003,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- Prova forte: `load_physical_lon_lat(...)` reconstrui `lon/lat` por `np.linspace` a partir de `results/netcdf_files_summary.csv`, usando a linha `data/HResNew/CMEMSnaza_20241029_HResNew.nc` e metodo `linear_resample_from_hres_bbox`.",medium,9
TXT0004,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- O arquivo `tempIBHRes2024_1.gslib` observado tem colunas `x,y,z,temp` com valores indexados (ex.: `x=1`, `y=1`, `z=1`), sem lat/lon em graus no cabecalho.",medium,10
TXT0005,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,## 2) Cadeia de geracao (tempIBHRes -> arrays -> bbox/eixos -> PNG),medium,13
TXT0006,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- parse header x,y,z,temp",medium,19
TXT0007,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,-> lon/lat = linspace(HRes bbox -> target 112x64),medium,25
TXT0008,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- Mapping linear para bbox HRes: `scripts/Old_Code/physical_coords.py:35-41`, `59-64`.",medium,44
TXT0009,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,### 3.2 Onde o codigo atribui bbox/lat/lon?,medium,57
TXT0010,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,- registrar metodo `linear_resample_from_hres_bbox` (`63`).,medium,64
TXT0011,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,### 3.3 A bbox vem de onde?,medium,66
TXT0012,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"- O codigo aplica bbox HRes ao grid `112x64` do tempIBHRes (`physical_coords.py:40`, `59-60`).",medium,73
TXT0013,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,## 4) Classificacao dos outputs (georef forte vs display mapping vs ambiguo),medium,76
TXT0014,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,| `results/plots/deterministic_2024_surface_300_thesis/*.png` | display mapping | `color_scale.json` metodo `linear_resample_from_hres_bbox`; script usa `extent` com lon/lat | lat/lon aplicados externamente via bbox HRes para visualizacao comparativa |,medium,80
TXT0015,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,| `results/plots/pngs_normalized_surface_300_thesis/*.png` | display mapping | `color_scale_norm.json` com mesmo metodo; script `01b...` usa `load_physical_lon_lat` | idem acima |,medium,81
TXT0016,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"| `results/validation_visual_data_branches.../images/thermal/tempIBHRes2024_1/*.png` | display mapping | `image_manifest.csv` `coord_type=latlon` + bbox HRes (linhas 2,12,22) | tempIBHRes mostrado em lat/lon por mapping |",medium,82
TXT0017,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"| `results/validation_visual_data_branches.../images/thermal/TestC4_scene_real/*.png` | georef forte (metrico) | `coord_type=metric` (linhas 4,14,24) e eixos X/Y metricos na figura | usa coordenadas metricas do produto scene |",medium,83
TXT0018,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"| `results/validation_visual_data_branches.../images/thermal/Priori_Median*.png` e `.../uncertainty/Priori_StDev*.png` | nao georef (index) | `coord_type=index` (linhas 6,10,16,20,26,30) | eixo em indice de grelha |",medium,84
TXT0019,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"| `results/validation_hres_surface_comparison.../images/tempIBHRes2024_1/*.png` | display mapping | imagem com eixos lon/lat + `grid_comparison.csv` nota ""mapped linearly to HRes bbox"" | mapping para comparacao |",medium,85
TXT0020,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,"| `results/validation_hres_surface_comparison.../images/hres_test_c4_scene_real/*.png` | provavel display mapping para lat/lon | `manifest.json` nota: extents lat/lon para HRes vindos de `netcdf_files_summary.csv` | sem script gerador no repo, mas evidencia...",medium,86
TXT0021,investigation/tempibhres_geoaxes_audit_20260417_171342/AUDIT_TEMPIBHRES_GEOAXES.md,report_or_doc,keyword_snippet,### 5.2 tempIBHRes foi desenhado com bbox HRes por conveniencia?,medium,96
TXT0022,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"deterministic_tempIBHRes_thesis,FILIPA_DADOS/results/plots/deterministic_2024_surface_300_thesis/TEMP_surface_2024_z013.png,lon/lat from HRes bbox linear remap,display_mapping,high,Method in color_scale.json coord_source",medium,2
