output_family,representative_path,coord_axes_source,category,confidence,notes
deterministic_tempIBHRes_thesis,FILIPA_DADOS/results/plots/deterministic_2024_surface_300_thesis/TEMP_surface_2024_z013.png,lon/lat from HRes bbox linear remap,display_mapping,high,Method in color_scale.json coord_source
normalized_tempIBHRes_thesis,FILIPA_DADOS/results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png,lon/lat from HRes bbox linear remap,display_mapping,high,Method in color_scale_norm.json coord_source
visual_branches_tempIBHRes,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/tempIBHRes2024_1/tempIBHRes2024_1_step013.png,coord_type=latlon with HRes local bbox,display_mapping,high,image_manifest row2
visual_branches_2024IB,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/2024IB/2024IB_step013.png,coord_type=latlon CMEMS bbox,georef_strong,medium,assumes upstream CMEMS axes preserved
visual_branches_TestC4_scene_real,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/TestC4_scene_real/TestC4_scene_real_step013.png,coord_type=metric,georef_strong,high,explicit metric axes in image and manifest
visual_branches_Priori_or_Nazare_Median,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/Priori_Median/Priori_Median_step013.png,coord_type=index,not_georeferenced_index,high,index display only
hres_surface_compare_tempIBHRes,FILIPA_DADOS/results/validation_hres_surface_comparison_20260405_130636/images/tempIBHRes2024_1/tempIBHRes2024_1_z013.png,lat/lon display using HRes bbox references,display_mapping,high,grid_comparison note + plotted axes
hres_surface_compare_hres_scene,FILIPA_DADOS/results/validation_hres_surface_comparison_20260405_130636/images/hres_test_c4_scene_real/hres_scene_real_step01_zconst_13.png,lat/lon extents taken from netcdf summary,display_mapping,medium,no generator script found
comparative_panels_hres_surface,FILIPA_DADOS/results/validation_hres_surface_comparison_20260405_130636/panels/panel_compare_step_013.png,mixed side-by-side panel,ambiguous,medium,axes visible but generator missing
comparative_panels_visual_branches,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/panels/panel_thermal_step_013.png,mixed side-by-side panel,ambiguous,medium,axes hidden and generator missing
